wt,bbp,chl,par,mld,yd,sf,lat,lon,ap490,C_mod,date,doy,kd_M07,Ez1,fe
9.612655422,0.001270358,0.499534848,0.284904866,121,315,NA,50.13774151,44.88313396,0.017921591,13.05441763,20151111,315,0.065102757,51.45051302,1
12.6129209,0.000898895,0.305233529,0.10538256,121,316,NA,50.79916919,44.00351453,0.011299412,7.53544919,20151112,316,0.051442559,45.7794503,1
5.77749749,0.002178534,0.466831381,0.217589377,108,317,NA,54.06561961,40.18820065,0.015376987,11.94776239,20151113,317,0.062946876,48.93053984,1
5.691509474,0.002514252,0.346513684,0.191714008,96,318,NA,54.08942737,40.1661502,0.016008421,9.23051275,20151114,318,0.054540385,54.1510592,1
8.57951958,0.001025955,0.427128671,0.21830246,104,319,1.254315522,52.95629648,40.13094472,0.017358042,11.12205881,20151115,319,0.060261603,51.16519113,1
7.330436364,0.001323639,0.731092769,0.046457297,64,320,1.169546942,51.29470652,40.10880074,0.026341529,15.69534112,20151116,320,0.079237876,19.38401857,1
11.5877263,0.000840229,0.291577778,0.302901444,101,321,1.032264109,47.11185092,38.29498303,0.015293333,8.691232584,20151117,321,0.050387969,67.69120592,1
15.43605,0.000570875,0.220652857,0.286341448,107,322,1.41109023,46.26056703,37.92894549,0.009989121,6.918251032,20151118,322,0.044620795,75.18018992,1
NA,0.000406296,0.289165957,0.112261075,82,323,NA,44.51335534,37.38800728,NA,NA,20151119,323,0.050200042,48.1721133,1
NA,0.000482093,0.357679057,0.182682737,79,324,NA,43.73733774,38.047241,NA,9.507181291,20151120,324,0.055357021,52.48053149,1
NA,0.000632411,0.373976572,0.194552701,63,325,NA,43.3768759,40.25836094,NA,10.10839708,20151121,325,0.056534156,52.50132337,1
NA,0.000541653,0.367213809,0.203787787,28,326,NA,43.27559842,40.25029485,NA,10.88029818,20151122,326,0.056047783,53.78435889,1
NA,0.000758051,0.415002043,0.295788045,18,327,NA,41.58989348,40.37004348,NA,NA,20151123,327,0.059425282,56.99692042,1
NA,0.000776731,0.462790277,0.234126128,27,328,NA,40.60612029,40.42377488,NA,13.5909144,20151124,328,0.062677086,50.30985178,1
NA,0.000710896,0.392952364,0.598283367,38,329,NA,40.63069776,40.50333955,NA,15.54733891,20151125,329,0.057883712,70.68446817,1
5.473598919,0.00393418,2.331645333,1.452036908,15,137,1.125495216,53.59410492,46.17952623,0.084502,84.63598204,20160516,137,0.153078693,32.52012026,1
4.535278179,0.003046002,1.357546947,1.580412861,15,138,1.152973131,54.99580683,46.11939938,0.048770611,61.73864073,20160517,138,0.111512711,45.40160701,1
4.182498784,0.003054784,1.559769504,0.896173217,46,139,1.169323776,56.3449141,46.03307239,0.053907092,40.57988566,20160518,139,0.120788448,37.21836562,1
6.169475658,0.004901838,3.007504605,1.304279988,6,140,1.150217179,53.98259,42.95431667,0.103337171,119.1304923,20160519,140,0.178517961,27.28476914,1
6.246490702,0.005486863,3.066996842,1.468691344,23,141,1.171416814,53.53550232,42.2467417,0.105014561,85.41582696,20160520,141,0.180661808,27.61813353,1
8.956230539,0.004890585,3.098923952,2.544650222,33,142,1.162512723,50.64035763,43.55819818,0.101261377,80.90335409,20160521,142,0.181806688,30.46732459,1
9.009721318,0.00440986,3.625233661,1.756323755,18,143,1.265421112,50.10766349,43.89388121,0.106951332,109.3966681,20160522,143,0.200158128,25.8215496,1
15.23881888,0.001283188,0.429830053,2.217638554,19,144,1.942630121,47.96951895,39.85465794,0.011826862,33.59809145,20160523,144,0.060446838,89.36138395,1
15.56915367,0.000935014,0.345372641,2.775258197,249,145,1.928228696,47.63164214,39.09271213,0.009887607,16.50234396,20160524,145,0.054456446,103.3103404,1
15.70098619,0.000983393,0.515279458,1.317554487,264,146,1.725963301,47.52786484,38.82293746,0.016436101,17.06622221,20160525,146,0.066124061,73.81499919,1
15.81001721,0.001195316,0.778579476,1.421706451,17,147,1.81678011,47.3759729,38.62554969,0.024458079,41.01609858,20160526,147,0.081941549,60.49468339,1
15.80939552,0.001809161,1.187325249,0.827874953,24,148,1.430479092,47.29306706,38.26165335,0.040901493,40.02529679,20160527,148,0.103346717,42.7326299,1
14.75595081,0.00555898,1.498307818,1.060395216,32,149,0.738503369,44.45328924,43.0960583,0.075085016,45.14131647,20160528,149,0.118013459,39.51932185,1
15.64764614,0.004227386,0.958930568,0.949447326,33,150,0.737524401,44.16568242,43.54959833,0.053101456,33.22078104,20160529,150,0.091753563,49.62526602,1
NA,0.004054511,0.67096219,1.466096631,33,151,NA,44.51462335,43.1122943,NA,NA,20160530,151,0.075729912,65.86266338,1
NA,0.003379135,0.382993812,2.020633935,34,152,NA,45.01325102,43.04071633,NA,NA,20160531,152,0.057178198,92.84275562,1
21.02358035,0.000855267,0.095025434,1.809740037,36,245,0.729783216,41.49940568,52.43957102,0.00974104,13.91625486,20170902,245,0.032514718,159.8769309,1
18.19050755,0.001245383,0.134979062,1.830911861,37,246,0.812948875,41.8191638,49.10666585,0.010515904,16.01481944,20170903,246,0.036744356,141.790057,1
20.30019601,0.000836618,0.093801064,1.797909747,47,248,1.193333583,43.65245588,42.97624449,0.007357181,13.03427386,20170905,248,0.032376731,160.3557506,1
18.31847237,0.000907091,0.109549123,1.649359368,39,249,1.674444861,44.36391401,43.38130814,0.007033772,13.85532136,20170906,249,0.034109626,149.6808296,1
19.95516082,0.000680137,0.099220501,0.862404111,27,250,0.964817492,45.98169051,41.35299108,0.008631207,8.675858786,20170907,250,0.032983148,135.1338242,1
19.72499195,0.00081089,0.104538559,1.151832131,20,251,1.163880198,46.98319608,40.14060549,0.008411441,11.25590313,20170908,251,0.033567727,141.4014122,1
16.67841359,0.001583925,0.151496196,1.299906155,22,252,1.001062587,48.62052424,38.94594242,0.012506522,14.79447687,20170909,252,0.038368036,126.8624283,1
16.84092258,0.001343369,0.114083871,0.980927426,32,253,0.491085898,48.63717082,39.12523369,0.012448387,10.13911303,20170910,253,0.034593083,132.5673522,1
16.29904,0.001607242,0.188829,0.386415793,13,254,0.606028035,49.67665442,39.22672271,0.016075,8.837702749,20170911,254,0.041838272,87.34416316,1
14.14648613,0.002134645,0.269249635,1.339462503,22,255,0.667282415,51.69270922,39.5339539,0.021275912,20.7240466,20170912,255,0.048627914,100.7124953,1
11.88081676,0.002787351,0.779186127,0.576079107,33,256,0.786781359,53.2209,39.53070355,0.042369942,24.89444666,20170913,256,0.081975732,49.44951117,1
11.74746274,0.00267442,0.703245007,0.517138407,36,257,0.749444631,53.3444047,39.50402831,0.039765574,22.05270795,20170914,257,0.077625538,50.83024962,1
11.64329115,0.00245712,0.623479084,0.675058115,36,258,0.762869777,53.41125922,39.49192315,0.036509924,22.1328232,20170915,258,0.07288626,57.7916015,1
11.67000623,0.002503773,0.646564416,1.011998008,36,259,0.750887222,53.38486065,39.58838941,0.038024935,26.38182834,20170916,259,0.074277352,62.16022293,1
11.857117,0.002636421,0.696302461,0.927494954,30,260,0.756709785,53.39683624,39.60328233,0.040206488,28.14970459,20170917,260,0.077220331,58.66204143,1
19.46929231,0.001761827,0.982079808,1.803265645,100,85,1.001607834,38.61669808,44.27639615,0.03409375,28.76681486,20180326,85,0.092967058,55.87752895,1
18.70181007,0.001510416,0.664787153,0.734960467,100,86,1.267184187,39.38811296,43.118876,0.021915799,19.01584568,20180327,86,0.075363935,57.01973499,1
17.55951874,0.001895408,1.053921366,1.977073207,65,87,1.535161216,39.27771293,41.27679286,0.032083187,33.50630946,20180328,87,0.096674679,54.68637511,1
18.62638986,0.001206954,0.618731818,0.770042629,265,88,1.603596611,42.37155415,42.07043238,0.017665559,17.66911549,20180329,88,0.072598113,59.83434871,1
18.54546364,0.000891778,0.420544886,0.624067541,218,89,1.688866451,43.50573523,42.22602955,0.01289517,12.76494742,20180330,89,0.05980853,69.11511634,1
14.72010067,0.00115481,0.736530333,1.06088908,186,90,1.351984496,44.47960205,38.57996185,0.022920833,21.15641157,20180331,90,0.079550329,58.63303813,1
13.71086087,0.000866311,0.438570773,1.042178712,157,91,1.383766326,44.46957056,38.27608879,0.014240338,14.76313938,20180401,91,0.061043591,76.11746851,1
17.82481309,0.001263985,0.700346644,1.57544582,157,93,0.958891768,39.88829551,39.78720064,0.025507215,21.83537898,20180403,93,0.077456533,65.32319831,1
18.03304176,0.001242635,0.61164792,1.621104438,157,95,1.328580646,39.18500701,40.11306816,0.018389185,20.10344818,20180405,95,0.072166783,70.50720085,1
